# Multiple projects
J2317+1439 -9.570152003923857
J2322+2057 -30.654547163933497
J2322-2650 8.993147930815235
# TPA
J0038-2501 14.0175
J0045-7042 37.9982
J0113-7220 126.42
J0131-7310 -52.31
J0151-0635 -6.04354
J0206-4028 2.89516
J0211-8159 29.1065
J0255-5304 25.6955
J0302+2252 -7.3
J0343-3000 37.6701
J0418-4154 18.6625
J0421-0345 -33.5675
J0449-7031 40.64
J0450-1248 6.84552
J0455-6951 -24.1928
J0511-6508 32.5028
J0514-4407 17.4431
J0519-6932 85
J0520-2553 -2.20329
J0522-6847 -118.95
J0525+1115 6.678
J0533+0402 -64.5706
J0534-6703 -35.1825
J0555-7056 24.59
J0621+0336 45.7072
J0627+0649 178.7687
J0628+0909 129.3911
J0630-0046 44.3939
J0631+0646 105.0
